MessageDate,arbitrarytext,coin,difficulty,height,minedat,orphanedyn,paidoutat,poolcode,reward,size,txcount,wallet,
2019-01-01,/coingeek.com/lk,BSP,119817379397.42555,563339,2019-01-01 14:50:32.78895+00,f,,CG-BSP,12.50001800,0,1,1MNRjZvmz1wySaQQmnyL6AgszZHxfQxW2q,
2018-12-11,37e704oilig3,BSP,189573962768.18854,560350,2018-12-11 12:51:20.88314+00,f,2018-12-11 14:20:41.55142+00,CG-BSP,12.50013440,0,1,19HV5vbRutKMuanrPqmoHB7zMRjJHKvHa3,
2018-12-02,37e704oilig3,BSP,189291591866.58093,559113,2018-12-02 20:19:00.60539+00,f,2018-12-02 21:20:03.17543+00,CG-BSP,12.50100614,0,1,19HV5vbRutKMuanrPqmoHB7zMRjJHKvHa3,
2018-11-21,/coingeek.com/hp,BSP,571963189102.3262,557624,2018-11-21 17:58:34.24892+00,f,2018-11-21 19:17:09.23686+00,CG-BSP,12.54612556,4539483,1,14mnwRBbt1UstJzunnepRA41k8iP6iH2x6,
2018-11-21,/coingeek.com/lk,BSP,560624407925.839,557631,2018-11-21 19:58:47.71451+00,f,2018-11-21 20:31:53.34805+00,CG-BSP,12.50043356,15562,1,1LV8T2UoU3SYbWuqBvfC4zh9Erg6wj1GQo,
2018-12-24,/coingeek.com/hp,BSP,144993972429.0794,562244,2018-12-24 22:32:03.6199+00,f,,CG-BSP,12.50000300,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2019-01-14,/coingeek.com/hp,BSP,133833008039.1009,565217,2019-01-14 17:36:54.12472+00,f,,CG-BSP,12.50145539,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/coingeek.com/hp,BSP,458313422038.4056,557864,2018-11-23 13:15:43.99152+00,f,2018-11-23 14:33:24.34922+00,CG-BSP,12.50003850,0,1,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
2018-12-28,ISBNB5OPSC,BSP,125629826463.92223,562686,2018-12-28 03:00:37.08456+00,f,,ANON-BSP,12.50281955,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-12-30,ISBNB5OPSC,BSP,158682240259.81497,562989,2018-12-30 02:17:43.65383+00,f,,ANON-BSP,12.50145198,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
